"","variety","text_ID","verb","mode","genre","Source.Ole","Source.Jenny","subject_3","source.ct","spoken.ct"
"506","USA","USA-W2C-020","must","written","rep","SUB","SUB","third",1,-1
"508","USA","USA-W1B-013","must","written","sl","OBJ","OBJ","third",-1,-1
"511","USA","USA-W2C-004","must","written","rep","OBJ","OBJ","third",-1,-1
"515","USA","USA-W2B-015","must","written","PSoc","OBJ","OBJ","third",-1,-1
"516","USA","USA-W2D-017","must","written","SkHo","OBJ","SUB","second",0,-1
"517","USA","USA-W2F-003","must","written","nov","X","SUB","third",0.5,-1
"521","USA","USA-W2B-013","must","written","PSoc","SUB","SUB","first",1,-1
"522","USA","USA-W2E-006","must","written","ed","OBJ","SUB","third",0,-1
"524","USA","USA-W2B-008","must","written","PHum","OBJ","SUB","third",0,-1
"526","USA","USA-W2B-014","must","written","PSoc","OBJ","OBJ","third",-1,-1
"529","USA","USA-W2C-002","must","written","rep","OBJ","SUB","third",0,-1
"530","USA","USA-W2A-012","must","written","ASoc","X","OBJ","third",-0.5,-1
"531","USA","USA-W2B-037","must","written","PTec","OBJ","OBJ","second",-1,-1
"544","USA","USA-W2B-038","must","written","PTec","OBJ","OBJ","third",-1,-1
"545","USA","USA-W2A-015","must","written","ASoc","SUB","SUB","first",1,-1
"546","USA","USA-W2B-031","must","written","PTec","SUB","SUB","first",1,-1
"547","USA","USA-W2F-015","must","written","nov","SUB","SUB","second",1,-1
"548","USA","USA-W2C-014","must","written","rep","SUB","SUB","first",1,-1
"549","USA","USA-W2B-009","must","written","PHum","SUB","SUB","first",1,-1
"551","USA","USA-W2E-006","must","written","ed","OBJ","OBJ","third",-1,-1
"552","USA","USA-W1B-008","must","written","sl","OBJ","SUB","first",0,-1
"553","USA","USA-W1B-010","must","written","sl","OBJ","OBJ","third",-1,-1
"557","USA","USA-W2A-012","must","written","ASoc","OBJ","OBJ","third",-1,-1
"559","USA","USA-W2F-015","must","written","nov","OBJ","SUB","first",0,-1
"563","USA","USA-W2B-038","must","written","PTec","OBJ","OBJ","third",-1,-1
"564","USA","USA-W2B-008","must","written","PHum","OBJ","OBJ","third",-1,-1
"566","USA","USA-W2B-006","must","written","PHum","OBJ","SUB","third",0,-1
"567","USA","USA-W2E-009","must","written","ed","SUB","OBJ","third",0,-1
"571","USA","USA-W2A-012","must","written","ASoc","OBJ","OBJ","third",-1,-1
"572","USA","USA-W2B-019","must","written","PSoc","SUB","SUB","third",1,-1
"575","USA","USA-W2A-012","must","written","ASoc","OBJ","OBJ","third",-1,-1
"578","USA","USA-W2B-009","must","written","PHum","SUB","SUB","second",1,-1
"579","USA","USA-W2C-014","must","written","rep","SUB","SUB","third",1,-1
"580","USA","USA-W2A-012","must","written","ASoc","OBJ","OBJ","third",-1,-1
"585","USA","USA-W1B-013","must","written","sl","OBJ","OBJ","third",-1,-1
"589","USA","USA-W1B-015","must","written","sl","OBJ","OBJ","third",-1,-1
"592","USA","USA-W2C-019","must","written","rep","OBJ","OBJ","third",-1,-1
"596","USA","USA-W2B-033","must","written","PTec","OBJ","OBJ","third",-1,-1
"597","USA","USA-W2A-012","must","written","ASoc","OBJ","OBJ","third",-1,-1
"599","USA","USA-W2B-032","must","written","PTec","OBJ","OBJ","third",-1,-1
"603","USA","USA-W2E-008","must","written","ed","OBJ","SUB","third",0,-1
"608","USA","USA-W2D-020","must","written","SkHo","OBJ","OBJ","third",-1,-1
"612","USA","USA-W2F-011","must","written","nov","SUB","SUB","first",1,-1
"614","USA","USA-W2B-020","must","written","PSoc","OBJ","SUB","third",0,-1
"615","USA","USA-W2A-012","must","written","ASoc","OBJ","OBJ","third",-1,-1
"617","USA","USA-W2C-018","must","written","rep","OBJ","OBJ","third",-1,-1
"618","USA","USA-W2E-002","must","written","ed","OBJ","OBJ","third",-1,-1
"619","USA","USA-W2C-014","must","written","rep","OBJ","OBJ","third",-1,-1
"620","USA","USA-W2B-009","must","written","PHum","SUB","SUB","first",1,-1
"621","USA","USA-W2F-015","must","written","nov","OBJ","SUB","first",0,-1
"622","USA","USA-W2F-015","must","written","nov","SUB","SUB","first",1,-1
"624","USA","USA-W2F-010","must","written","nov","OBJ","SUB","third",0,-1
"625","USA","USA-W2B-011","must","written","PSoc","OBJ","OBJ","third",-1,-1
"628","USA","USA-W2A-012","must","written","ASoc","OBJ","OBJ","third",-1,-1
"632","USA","USA-W2F-003","must","written","nov","OBJ","OBJ","third",-1,-1
"633","USA","USA-W2F-015","must","written","nov","SUB","SUB","second",1,-1
"635","SCO","SCO-ed-010","must","written","ed","SUB","SUB","third",1,-1
"636","SCO","SCO-SkHo-006","must","written","SkHo","SUB","SUB","first",1,-1
"637","SCO","SCO-nov-004","must","written","nov","SUB","SUB","first",1,-1
"638","SCO","SCO-ed-017","must","written","ed","SUB","SUB","third",1,-1
"639","SCO","SCO-ed-012","must","written","ed","SUB","SUB","third",1,-1
"640","SCO","SCO-rep-003","must","written","rep","SUB","SUB","third",1,-1
"641","SCO","SCO-ed-017","must","written","ed","SUB","SUB","third",1,-1
"642","SCO","SCO-rep-056","must","written","rep","OBJ","OBJ","third",-1,-1
"643","SCO","SCO-rep-056","must","written","rep","SUB","SUB","first",1,-1
"644","SCO","SCO-ed-008","must","written","ed","SUB","SUB","third",1,-1
"645","SCO","SCO-ed-019","must","written","ed","OBJ","OBJ","third",-1,-1
"646","SCO","SCO-rep-073","must","written","rep","SUB","OBJ","third",0,-1
"647","SCO","SCO-PNat-008","must","written","PNat","SUB","SUB","third",1,-1
"648","SCO","SCO-rep-071","must","written","rep","SUB","SUB","third",1,-1
"649","SCO","SCO-SkHo-004","must","written","SkHo","SUB","OBJ","second",0,-1
"650","SCO","SCO-rep-062","must","written","rep","SUB","SUB","third",1,-1
"651","SCO","SCO-PNat-008","must","written","PNat","SUB","SUB","third",1,-1
"652","SCO","SCO-SkHo-004","must","written","SkHo","OBJ","OBJ","third",-1,-1
"653","SCO","SCO-SkHo-004","must","written","SkHo","X","OBJ","third",-0.5,-1
"654","SCO","SCO-rep-048","must","written","rep","SUB","SUB","third",1,-1
"655","SCO","SCO-ed-029","must","written","ed","SUB","OBJ","third",0,-1
"656","SCO","SCO-ASoc-001","must","written","ASoc","OBJ","OBJ","third",-1,-1
"657","SCO","SCO-ed-008","must","written","ed","SUB","SUB","third",1,-1
"658","SCO","SCO-ed-021","must","written","ed","SUB","SUB","third",1,-1
"659","SCO","SCO-ed-010","must","written","ed","SUB","SUB","third",1,-1
"660","SCO","SCO-rep-043","must","written","rep","SUB","SUB","third",1,-1
"661","SCO","SCO-PNat-021","must","written","PNat","OBJ","OBJ","third",-1,-1
"662","SCO","SCO-rep-020","must","written","rep","OBJ","OBJ","third",-1,-1
"663","SCO","SCO-ed-028","must","written","ed","SUB","SUB","third",1,-1
"664","SCO","SCO-ed-008","must","written","ed","SUB","SUB","first",1,-1
"665","SCO","SCO-rep-073","must","written","rep","SUB","SUB","third",1,-1
"666","SCO","SCO-ed-012","must","written","ed","SUB","SUB","third",1,-1
"667","SCO","SCO-ed-008","must","written","ed","SUB","SUB","first",1,-1
"668","SCO","SCO-ed-011","must","written","ed","SUB","SUB","third",1,-1
"669","SCO","SCO-rep-046","must","written","rep","SUB","SUB","third",1,-1
"670","SCO","SCO-ed-008","must","written","ed","SUB","SUB","first",1,-1
"673","GB","GB-S2A-061","have to","spoken","leg","OBJ","OBJ","second",-1,1
"674","GB","GB-S2A-061","have to","spoken","leg","SUB","OBJ","second",0,1
"676","GB","GB-S1B-044","have to","spoken","bint","SUB","SUB","second",1,1
"677","GB","GB-S1B-027","have to","spoken","bdis","OBJ","OBJ","third",-1,1
"678","GB","GB-S2A-029","need to","spoken","unsp","OBJ","OBJ","second",-1,1
"679","GB","GB-S1B-029","need to","spoken","bdis","OBJ","SUB","first",0,1
"683","GB","GB-W2B-014","need to","written","PSoc","SUB","SUB","first",1,-1
"684","GB","GB-S1B-028","have to","spoken","bdis","OBJ","OBJ","third",-1,1
"687","GB","GB-S2A-027","have to","spoken","unsp","SUB","SUB","first",1,1
"688","GB","GB-S2A-031","have to","spoken","unsp","SUB","SUB","first",1,1
"689","GB","GB-S2B-008","have to","spoken","bnew","SUB","SUB","first",1,1
"690","GB","GB-S2B-050","have to","spoken","nbtal","SUB","SUB","first",1,1
"691","GB","GB-S1B-037","have to","spoken","bdis","X","SUB","first",0.5,1
"693","GB","GB-S2A-035","have to","spoken","unsp","OBJ","OBJ","first",-1,1
"696","GB","GB-W2A-016","need to","written","ASoc","SUB","OBJ","third",0,-1
"701","GB","GB-S1B-035","have to","spoken","bdis","SUB","SUB","first",1,1
